0,1,2,3,4,5,6,7
tensor(1.2123),tensor(-0.0785),tensor(-0.1365),tensor(-0.1204),tensor(-2.0628),tensor(-0.1833),tensor(-4.2450),tensor(2.3139)
tensor(1.2111),tensor(-0.0923),tensor(-0.0990),tensor(-0.1768),tensor(-1.3972),tensor(0.6667),tensor(-4.3071),tensor(1.8752)
tensor(1.2095),tensor(-0.1018),tensor(-0.0283),tensor(-0.2192),tensor(-0.9635),tensor(0.7475),tensor(-3.4970),tensor(0.9540)
tensor(1.2078),tensor(-0.1078),tensor(0.0990),tensor(-0.2123),tensor(-0.5492),tensor(0.8158),tensor(-3.0522),tensor(2.0882)
tensor(1.2057),tensor(-0.1162),tensor(-0.0524),tensor(-0.3126),tensor(-1.5406),tensor(0.4064),tensor(-4.2663),tensor(1.6010)
tensor(1.2029),tensor(-0.1298),tensor(-0.0701),tensor(-0.3881),tensor(-1.8614),tensor(0.3599),tensor(-4.9448),tensor(2.8246)
tensor(1.1994),tensor(-0.1433),tensor(-0.0964),tensor(-0.4884),tensor(-1.5275),tensor(1.4664),tensor(-6.2672),tensor(3.7071)
tensor(1.1954),tensor(-0.1540),tensor(-0.0257),tensor(-0.5117),tensor(-1.5894),tensor(1.1639),tensor(-6.0483),tensor(4.5043)
tensor(1.1913),tensor(-0.1684),tensor(0.0555),tensor(-0.5033),tensor(-1.9218),tensor(0.3653),tensor(-5.5557),tensor(5.2713)
tensor(1.1872),tensor(-0.1848),tensor(0.0867),tensor(-0.5226),tensor(-2.1352),tensor(-0.0208),tensor(-5.3817),tensor(5.1073)
tensor(1.1833),tensor(-0.2002),tensor(0.2178),tensor(-0.4549),tensor(-1.6994),tensor(-0.1593),tensor(-4.3538),tensor(4.5760)
tensor(1.2489),tensor(0.0058),tensor(0.0441),tensor(-0.1042),tensor(0.3026),tensor(0.3424),tensor(-0.0410),tensor(1.2699)
tensor(1.2477),tensor(0.0066),tensor(-0.0022),tensor(-0.1934),tensor(-0.0901),tensor(0.1692),tensor(-0.6237),tensor(2.1405)
tensor(1.2457),tensor(0.0014),tensor(-0.0589),tensor(-0.2853),tensor(-1.2133),tensor(-1.1961),tensor(-0.5957),tensor(2.9417)
tensor(1.2431),tensor(-0.0056),tensor(-0.0588),tensor(-0.3782),tensor(-0.5415),tensor(0.0852),tensor(-1.5395),tensor(3.8379)
tensor(1.2397),tensor(-0.0116),tensor(-0.0561),tensor(-0.4638),tensor(-0.9577),tensor(-0.6535),tensor(-1.0837),tensor(3.9321)
tensor(1.2356),tensor(-0.0190),tensor(-0.0499),tensor(-0.5689),tensor(-0.8891),tensor(-0.4375),tensor(-1.3901),tensor(5.1772)
tensor(1.2308),tensor(-0.0225),tensor(-0.0135),tensor(-0.6269),tensor(0.0064),tensor(0.6774),tensor(-1.4288),tensor(4.1163)
tensor(1.2261),tensor(-0.0209),tensor(0.0234),tensor(-0.5019),tensor(0.3781),tensor(1.3966),tensor(-2.0745),tensor(3.2975)
tensor(1.2228),tensor(-0.0208),tensor(0.0169),tensor(-0.3427),tensor(-0.4355),tensor(0.7279),tensor(-2.7799),tensor(3.6982)
