,embedding,model
374,"[31.454898065599288, 5.058660902269417]",0
375,"[26.89699104275111, 6.561809172620861]",0
376,"[24.22203203812456, 14.642007156834714]",0
377,"[31.081054976602147, 22.750332130641205]",0
378,"[30.80872816915025, 24.03941397346563]",0
379,"[25.116325261912827, 26.508148756534002]",0
380,"[28.389441205785783, 13.96677484545444]",0
381,"[23.850837765264373, -25.12563426583683]",0
382,"[-17.627596218053988, -28.104817806752482]",0
383,"[-25.225114764948575, 13.361286273246904]",0
384,"[-38.18221209861133, -15.27473305654142]",0
385,"[-27.90473648642099, -18.0750030727748]",0
386,"[-23.01469703860071, -28.104816506672783]",0
387,"[-3.995727138102508, -3.3984652569002]",0
388,"[-27.56114999547232, 13.951264266019301]",0
389,"[23.74737083529632, 8.430551655884479]",0
390,"[5.711959822253303, -31.858847641918146]",0
391,"[24.35699543408087, 7.879621226444471]",0
392,"[-24.3111490747407, -20.45963753733791]",0
393,"[22.60744075905731, 26.04585983511784]",0
394,"[33.955993586954264, -1.1124283000557431]",0
395,"[6.8149824387001825, -26.695699077683788]",0
396,"[22.30516209436824, 3.8431854142965802]",0
397,"[-23.78871668547566, -28.500281846561766]",0
398,"[15.251100857410194, 7.794151806465225]",0
399,"[-8.953752655324145, 14.909620619402146]",0
400,"[23.061094826343105, 9.819125094564676]",0
401,"[-23.69385208090623, -21.923371695528136]",0
402,"[23.38412835624376, 24.073446708440557]",0
403,"[6.267502951069076, -31.64138159269166]",0
404,"[28.774737034168744, 6.107479020037619]",0
405,"[-4.396355859669502, -0.32420438063679163]",0
406,"[-5.211596076720805, -2.498738311741431]",0
407,"[25.078296124501684, 25.19850332100486]",0
408,"[22.788808078037906, 10.79019397167597]",0
409,"[-26.417932253038835, 15.739714621767911]",0
410,"[-5.254676010788018, -1.882230021986011]",0
411,"[-17.92321320289245, 20.04657460071185]",0
412,"[-8.846186395746276, 7.4342603349882275]",0
413,"[-38.36461542380116, 7.969344196253538]",0
414,"[-38.327070894521945, 7.834659306058063]",0
415,"[-36.593969493880856, -11.24590036886492]",0
416,"[-36.32239314925587, -12.39379349155969]",0
417,"[-24.71647917369548, 9.55045101038802]",0
418,"[-24.827739843960494, 9.75584806334973]",0
419,"[-25.635527940626787, 10.243534408151993]",0
420,"[-28.05279586605652, 10.21408849214651]",0
421,"[-37.15459763423171, 7.397256657615598]",0
422,"[-39.69828099363301, 5.914900834576454]",0
423,"[-40.26986853363674, 5.597772554449596]",0
424,"[-41.40620602570519, 5.35579372472909]",0
425,"[-42.9252529073618, 5.084855873130064]",0
426,"[-44.75417968466763, 4.6406868727468105]",0
427,"[-47.699723044179116, 3.499833010152038]",0
428,"[-48.0951351926928, 3.6210160981167236]",0
429,"[19.81958345306273, -3.6653974023812057]",0
430,"[22.29032929515113, -0.9864175270394989]",0
431,"[23.507531828906348, -0.5326364307958928]",0
432,"[23.56763502538661, -0.535770162726917]",0
433,"[23.42021155781248, -0.532514235797028]",0
434,"[23.112667495447507, -0.6115673825471756]",0
435,"[22.384249597824702, -0.9184773346070652]",0
436,"[21.385390886619383, -1.3209944364330248]",0
437,"[20.674414386979425, -1.5607116549045579]",0
438,"[19.899725890617947, -1.612101438958967]",0
439,"[19.59532321081693, -1.6942631168703872]",0
440,"[18.86155485371129, -1.6647115596260174]",0
441,"[19.22997518349523, -1.9951353051002678]",0
442,"[18.249884330559794, -1.6419278367283923]",0
443,"[19.216623776535982, -2.391655903757355]",0
